date,pmi,gdp_growth,industrial_production,retail_sales,unemployment_rate,cpi_yoy,core_cpi_yoy,ppi_yoy,wage_growth_yoy,oil_price,policy_rate,yield_10y,yield_2y,yield_curve,credit_spreads,money_supply_yoy,vix,equity_index,dollar_index,hy_spreads,equity_momentum_12m
2018-01-01,55.2,2.8,0.34,0.17,4.1,2.2,1.8,3.1,2.6,64.3,1.28,2.52,2.05,0.47,103.0,4.1,12.1,2649.0,90.1,321.0,0.0
2018-02-01,55.1,2.97,0.41,0.32,4.0,2.3,2.0,2.7,2.5,66.5,1.33,2.71,2.25,0.46,108.0,4.2,11.0,2727.0,89.9,333.0,0.0
2018-03-01,55.7,2.57,0.1,0.24,4.0,2.1,2.0,2.9,2.7,66.6,1.49,2.79,2.39,0.4,105.0,4.0,13.6,2730.0,91.4,330.0,0.0
2018-04-01,56.3,2.94,0.07,0.4,4.0,2.2,1.9,3.3,2.8,70.0,1.55,3.01,2.52,0.48,109.0,4.5,12.9,2757.0,92.3,344.0,0.0
2018-05-01,55.6,2.88,0.34,1.06,3.9,2.3,2.1,2.4,2.8,71.6,1.67,3.02,2.73,0.29,107.0,3.9,14.4,2825.0,91.5,343.0,0.0
2018-06-01,55.8,2.86,0.3,-0.21,4.0,2.2,1.7,3.2,3.0,79.5,1.75,3.31,2.89,0.42,116.0,3.9,17.9,2892.0,93.4,318.0,0.0
2018-07-01,56.9,2.92,0.28,0.55,3.9,2.3,1.8,2.8,2.7,76.9,1.89,3.38,2.91,0.47,108.0,4.3,15.6,2887.0,94.4,339.0,0.0
2018-08-01,56.7,2.73,0.29,-0.15,3.8,2.3,1.9,3.3,2.8,72.5,1.98,3.07,2.79,0.28,122.0,4.5,18.2,2717.0,93.8,356.0,0.0
2018-09-01,56.2,2.92,0.13,0.19,3.9,2.3,2.0,2.8,2.8,66.4,2.11,2.96,2.67,0.3,114.0,4.7,21.3,2670.0,95.9,345.0,0.0
2018-10-01,56.9,3.0,0.25,0.64,3.8,2.3,1.9,2.3,3.1,57.7,2.33,3.02,2.63,0.38,109.0,4.3,22.4,2678.0,95.9,378.0,0.0
2018-11-01,56.6,3.13,0.25,0.33,3.8,2.4,1.8,2.6,3.1,54.0,2.34,2.93,2.66,0.27,119.0,4.7,23.5,2531.0,96.0,398.0,0.0
