asset_or_sector,signal,expected_return_score,conviction,data_quality,volatility_assumption,suggested_position_size,position_bucket,reason
Technology,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
Financials,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
Energy,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
Consumer Discretionary,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
Consumer Staples,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
Healthcare,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
Industrials,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
Materials,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
Utilities,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
Communication Services,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
Real Estate,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
equities,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
rates,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
credit,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
commodities,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
fx,neutral,0.0000,0.69,high,0.15,no_position,No Position,Based on 0.00x multiplier
